country,date,StartAge,EndAge,AgeGroup,Female_Population,Male_Population
Mauritius,2023,0,4,0-4,30470,29494
Mauritius,2023,5,9,5-9,30628,30229
Mauritius,2023,10,14,10-14,35604,34298
Mauritius,2023,15,19,15-19,44416,43913
Mauritius,2023,20,24,20-24,45720,47446
Mauritius,2023,25,29,25-29,47632,51975
Mauritius,2023,30,34,30-34,49488,55056
Mauritius,2023,35,39,35-39,42915,47611
Mauritius,2023,40,44,40-44,47985,50907
Mauritius,2023,45,49,45-49,44491,45585
Mauritius,2023,50,54,50-54,39391,39783
Mauritius,2023,55,59,55-59,42660,42010
Mauritius,2023,60,64,60-64,40150,37988
Mauritius,2023,65,69,65-69,32668,30138
Mauritius,2023,70,74,70-74,25501,21778
Mauritius,2023,75,79,75-79,15303,11826
Mauritius,2023,80,,80+,15713,10272
