raw_value,count,mapped_facility
vh,1195,Victoria Hospital
smc,519,Stanley Mediclinic
jh,156,Dr A. G. Jeetoo Hospital
ycch,153,Yves Cantin CHC
aed jh,113,Dr A. G. Jeetoo Hospital
vh uns,68,Victoria Hospital
jh aed,66,Dr A. G. Jeetoo Hospital
coromandel mc,63,Coromandel Mediclinic
agjh,61,Dr A. G. Jeetoo Hospital
stanley mediclinic,60,Stanley Mediclinic
unsorted,58,Dr A. G. Jeetoo Hospital
odette leal chc,54,Odette Leal CHC
unsorted jh,53,Dr A. G. Jeetoo Hospital
stanley mc,44,Stanley Mediclinic
coromandel mediclinic,42,Coromandel Mediclinic
bambous ahc,39,Bambous AHC
c lab,38,C-Lab
nsh,38,New Souillac Hospital
wellkin,37,Wellkin Hospital
jnh,36,Jawaharlal Nehru Hospital
jeetoo hospital,33,Dr A. G. Jeetoo Hospital
clab,31,C-Lab
victoria hospital,28,Victoria Hospital
ssrnh,27,Sir Seewoosagur Ramgoolam National Hospital
wellkin hospital,26,Wellkin Hospital
jh a&e,25,Dr A. G. Jeetoo Hospital
victoria,23,Victoria Hospital
welkin,20,Wellkin Hospital
jh unsorted,20,Dr A. G. Jeetoo Hospital
lady twining ahc,20,Lady Twining AHC
lady twinning ahc,20,Lady Twining AHC
uns jh,19,Dr A. G. Jeetoo Hospital
mediclinic coromandel,18,Coromandel Mediclinic
aed vh,18,Victoria Hospital
clab darne,18,C-Care Darné
c care,17,C-Care
dr ag jh,16,Dr A. G. Jeetoo Hospital
aed,15,Dr A. G. Jeetoo Hospital
darne,14,C-Care Darné
sajh,14,Sir Anerood Jugnauth Hospital
new souillac hospital,14,New Souillac Hospital
vh aed,14,Victoria Hospital
c-lab,12,C-Lab
c lab wellkin,12,C-Lab
petite riviere mc,10,Petite Rivière Mediclinic
medisave,10,Medisave
nil,10,
c lab darne,10,C-Care Darné
roche bois chc,9,Roche Bois CHC
new grove ahc,9,New Grove AHC
ccare,8,C-Care
royal green,8,Royal Green Hospital
royal green hospital,7,Royal Green Hospital
vh a&e,7,Victoria Hospital
artemis,7,Artemis Hospital
pte riv mc,7,Petite Rivière Mediclinic
pas chc,7,Pointe aux Sables CHC
trauma & emergency agjh,7,Dr A. G. Jeetoo Hospital
c care darne,6,C-Care Darné
jeetoo,6,Dr A. G. Jeetoo Hospital
tyack ahc,6,Tyack AHC
petite riviere mediclinic,6,Petite Rivière Mediclinic
clinic muller,6,Clinic Muller
lady twinning,6,Lady Twining AHC
bon pasteur,5,Clinique du Bon Pasteur
nsh a&e,5,New Souillac Hospital
clinic mauricienne,5,La Clinique Mauricienne
bouloux ahc,5,Bouloux AHC
p.riviere mc,5,Petite Rivière Mediclinic
la clinique mauricienne,5,La Clinique Mauricienne
coromandel medi clinic,5,Coromandel Mediclinic
ch.grenier ahc,5,Chemin Grenier AHC
life nova,4,Life Medical Clinic
fast track jh,4,Dr A. G. Jeetoo Hospital
unsorted vh,4,Victoria Hospital
pailles chc,4,Pailles CHC
clinique bon pasteur,4,Clinique du Bon Pasteur
albion chc,4,Albion CHC
-,4,
clinic bon pasteur,4,Clinique du Bon Pasteur
odette leal,4,Odette Leal CHC
petite riv mediclinic,4,Petite Rivière Mediclinic
jh uns,4,Dr A. G. Jeetoo Hospital
premium care,4,C-Care
cmc,4,Coromandel Mediclinic
c care wellkinn,4,C-Care
bambous,4,Bambous AHC
michael leal chc,4,Michael Leal CHC
wd 3.1 @ dr ag jh,3,Dr A. G. Jeetoo Hospital
fever survey,3,
bon pasteur clinic,3,Clinique du Bon Pasteur
hyderkhan mediclinic,3,Hyderkhan Mediclinic
jhaed,3,Dr A. G. Jeetoo Hospital
clab wellkinn,3,C-Lab
dr yves cantin ahc,3,Yves Cantin CHC
souillac hospital,3,New Souillac Hospital
bambou ahc,3,Bambous AHC
c.grenier ahc,3,Chemin Grenier AHC
2026-05-11 00:00:00,3,
beau bassin ahc,3,Beau Bassin AHC
c-care darney,2,C-Care Darné
?,2,
wd 3-2 @ jh,2,Dr A. G. Jeetoo Hospital
vh ward f11,2,Victoria Hospital
jnh ward 0-5,2,Jawaharlal Nehru Hospital
ward 3.1 @ jh,2,Dr A. G. Jeetoo Hospital
mahebourg hospital,2,Mahebourg Hospital
mh,2,
clinique mauritian,2,La Clinique Mauricienne
health office,2,
c-care,2,C-Care
c darne,2,C-Care Darné
grand bois mediclinic,2,Grand Bois Mediclinic
coro medi,2,Coromandel Mediclinic
ssrnh unsorted,2,Sir Seewoosagur Ramgoolam National Hospital
stanley medi,2,Stanley Mediclinic
chemin grenier ahc,2,Chemin Grenier AHC
agjh uns,2,Dr A. G. Jeetoo Hospital
clinique mauricienne,2,La Clinique Mauricienne
yve cartin,2,Yves Cantin CHC
